Price,Adj Close,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,,,,,,,,,
2021-10-14,18338.55078125,18338.55078125,18350.75,18248.69921875,18272.849609375,538700,17775.76748046875,17207.1999609375,0.009734787740718787,0.007289214396376982
2021-10-18,18477.05078125,18477.05078125,18543.150390625,18445.30078125,18500.099609375,469900,17820.3625,17251.56498046875,0.007552396132719963,0.007308666763068761
2021-10-19,18418.75,18418.75,18604.44921875,18377.69921875,18602.349609375,368200,17871.45498046875,17294.04798828125,-0.003155307734996393,0.0067654014218171
2021-10-20,18266.599609375,18266.599609375,18458.30078125,18209.349609375,18439.900390625,371300,17906.6849609375,17334.6159765625,-0.008260625212080042,0.007012371004103604
2021-10-21,18178.099609375,18178.099609375,18384.19921875,18048.0,18382.69921875,365900,17938.257421875,17373.01296875,-0.004844908296702255,0.007152603728193172
2021-10-22,18114.900390625,18114.900390625,18314.25,18034.349609375,18230.69921875,324700,17952.85498046875,17409.708984375,-0.003476668084567369,0.006434477748769559
2021-10-25,18125.400390625,18125.400390625,18241.400390625,17968.5,18229.5,418700,17966.4650390625,17446.5719921875,0.000579633328010587,0.006431423654519688
2021-10-26,18268.400390625,18268.400390625,18310.44921875,18099.30078125,18154.5,341400,17987.130078125,17484.6519921875,0.007889480889700096,0.006621407864033302
2021-10-27,18210.94921875,18210.94921875,18342.05078125,18167.900390625,18295.849609375,335200,18010.24755859375,17518.288984375,-0.0031448386638428527,0.006490312246913288
2021-10-28,17857.25,17857.25,18190.69921875,17799.44921875,18187.650390625,374200,18017.54501953125,17544.17296875,-0.0194223384240636,0.00795855520409204
2021-10-29,17671.650390625,17671.650390625,17915.849609375,17613.099609375,17833.05078125,336500,18020.22001953125,17565.313984375,-0.010393515763905459,0.008230251544175808
2021-11-01,17929.650390625,17929.650390625,17954.099609375,17697.099609375,17783.150390625,281200,18040.1,17592.53,0.014599655057507821,0.008736245690029237
2021-11-02,17888.94921875,17888.94921875,18012.25,17847.599609375,17970.900390625,296400,18049.9849609375,17621.298984375,-0.002270048271341696,0.008561440997981765
2021-11-03,17829.19921875,17829.19921875,17988.75,17757.94921875,17947.94921875,331000,18050.3298828125,17647.953984375,-0.0033400508475575075,0.008447582320662332
2021-11-04,17916.80078125,17916.80078125,17947.55078125,17900.599609375,17935.05078125,48500,18063.869921875,17673.7980078125,0.004913376165984751,0.00817447643726468
2021-11-08,18068.55078125,18068.55078125,18087.80078125,17836.099609375,18040.19921875,338900,18077.77998046875,17702.476015625,0.008469704042186388,0.008188484408722482
2021-11-09,18044.25,18044.25,18112.599609375,17983.05078125,18084.349609375,270200,18085.23251953125,17730.6230078125,-0.001344921435271762,0.008111482399765309
2021-11-10,18017.19921875,18017.19921875,18061.25,17915.0,17973.44921875,261400,18088.79501953125,17756.8630078125,-0.0014991358050348014,0.008102176231829817
2021-11-11,17873.599609375,17873.599609375,17971.349609375,17798.19921875,17967.44921875,232100,18082.8775390625,17775.713984375,-0.007970140510272006,0.008282821196353839
2021-11-12,18102.75,18102.75,18123.0,17905.900390625,17977.599609375,249100,18079.9275390625,17795.125,0.012820606684330382,0.008523146101680574
2021-11-15,18109.44921875,18109.44921875,18210.150390625,18071.30078125,18140.94921875,280400,18068.4724609375,17815.788984375,0.0003700663573213969,0.008204049963626342
2021-11-16,17999.19921875,17999.19921875,18132.650390625,17958.80078125,18127.05078125,267400,18044.5798828125,17831.0899609375,-0.006087981951756416,0.008056623463027405
2021-11-17,17898.650390625,17898.650390625,18022.650390625,17879.25,17939.349609375,295700,18018.57490234375,17842.5909765625,-0.005586294529162039,0.008104625543343293
2021-11-18,17764.80078125,17764.80078125,17945.599609375,17688.5,17890.55078125,278400,17993.4849609375,17850.3309765625,-0.007478195643460861,0.008071586749408633
2021-11-22,17416.55078125,17416.55078125,17805.25,17280.44921875,17796.25,356400,17955.40751953125,17851.42,-0.019603372100156835,0.009025171795504272
2021-11-23,17503.349609375,17503.349609375,17553.69921875,17216.099609375,17281.75,308800,17924.82998046875,17854.4169921875,0.004983697932798847,0.009154533810043513
2021-11-24,17415.05078125,17415.05078125,17600.599609375,17354.0,17550.05078125,298100,17889.3125,17855.3330078125,-0.0050446817378146935,0.00916798151116357
2021-11-25,17536.25,17536.25,17564.349609375,17351.69921875,17417.30078125,255900,17852.70498046875,17858.9519921875,0.006959452503032093,0.009117630711766595
2021-11-26,17026.44921875,17026.44921875,17355.400390625,16985.69921875,17338.75,356300,17793.47998046875,17851.8809765625,-0.029071254187753914,0.010947835696066903
2021-11-29,17053.94921875,17053.94921875,17160.69921875,16782.400390625,17055.80078125,348900,17753.31494140625,17842.5709765625,0.0016151341742889347,0.01030926326428146
2021-11-30,16983.19921875,16983.19921875,17324.650390625,16931.400390625,17051.150390625,498000,17718.8923828125,17829.6449609375,-0.004148599194972014,0.010142793297315022
2021-12-01,17166.900390625,17166.900390625,17213.05078125,17064.25,17104.400390625,295500,17680.7548828125,17821.2799609375,0.01081664117042136,0.009849226325305454
2021-12-02,17401.650390625,17401.650390625,17420.349609375,17149.30078125,17183.19921875,279900,17656.38994140625,17821.3749609375,0.013674571102433752,0.010463031175646273
2021-12-03,17196.69921875,17196.69921875,17489.80078125,17180.80078125,17424.900390625,292500,17624.76494140625,17814.0689453125,-0.01177768586739425,0.010715509132081977
2021-12-06,16912.25,16912.25,17216.75,16891.69921875,17209.05078125,231700,17574.53740234375,17801.3809375,-0.01654091957599968,0.011081042453143206
2021-12-07,17176.69921875,17176.69921875,17251.650390625,16987.75,17044.099609375,254100,17529.94482421875,17788.4559375,0.015636548581649423,0.011570493686536199
2021-12-08,17469.75,17469.75,17484.599609375,17308.94921875,17315.25,257800,17501.21982421875,17780.786953125,0.017060948527881648,0.012368627814641568
2021-12-09,17516.849609375,17516.849609375,17543.25,17379.599609375,17524.400390625,237200,17476.20234375,17774.021953125,0.002696066593683266,0.012404940327635547
2021-12-10,17511.30078125,17511.30078125,17534.349609375,17405.25,17476.05078125,204500,17458.08740234375,17769.2759765625,-0.00031677089480919296,0.012307106440982991
2021-12-13,17368.25,17368.25,17639.5,17355.94921875,17619.099609375,256600,17421.36240234375,17762.4149609375,-0.008169055116863166,0.011960996129291926
2021-12-14,17324.900390625,17324.900390625,17376.19921875,17225.80078125,17283.19921875,271000,17382.1349609375,17756.5499609375,-0.002495911181322197,0.011948260858088748
2021-12-15,17221.400390625,17221.400390625,17351.19921875,17192.19921875,17323.650390625,215000,17343.24501953125,17750.336953125,-0.005974060321640162,0.011946308626095923
2021-12-16,17248.400390625,17248.400390625,17379.349609375,17184.94921875,17373.0,219500,17310.73251953125,17741.4799609375,0.0015678167505297491,0.01194473559156788
2021-12-17,16985.19921875,16985.19921875,17298.150390625,16966.44921875,17276.0,354600,17271.75244140625,17724.7379296875,-0.01525945397337003,0.012262584971094266
2021-12-20,16614.19921875,16614.19921875,16840.099609375,16410.19921875,16824.25,330600,17231.63486328125,17704.1019140625,-0.021842546279377872,0.012439086895696533
2021-12-21,16770.849609375,16770.849609375,16936.400390625,16688.25,16773.150390625,241000,17195.00986328125,17683.7119140625,0.00942870544420904,0.012614203995248775
2021-12-22,16955.44921875,16955.44921875,16971.0,16819.5,16865.55078125,207900,17172.02978515625,17664.9169140625,0.011007170994593363,0.012921178551899594
2021-12-23,17072.599609375,17072.599609375,17118.650390625,17015.55078125,17066.80078125,197000,17148.847265625,17647.449921875,0.006909306212627531,0.01291950508669646
2021-12-24,17003.75,17003.75,17155.599609375,16909.599609375,17149.5,182600,17147.7123046875,17627.6859375,-0.004032754879180422,0.011178440040993025
2021-12-27,17086.25,17086.25,17112.05078125,16833.19921875,16937.75,144800,17149.32734375,17606.1759375,0.004851870910828504,0.011226491147817541
2021-12-28,17233.25,17233.25,17250.25,17161.150390625,17177.599609375,176000,17161.8298828125,17584.069921875,0.008603409174043453,0.011330866727582274
2021-12-29,17213.599609375,17213.599609375,17285.94921875,17176.650390625,17220.099609375,161700,17164.16484375,17558.8008984375,-0.0011402602889762914,0.011086926297552768
2021-12-30,17203.94921875,17203.94921875,17264.05078125,17146.349609375,17201.44921875,320800,17154.27978515625,17534.5048828125,-0.0005606259494814747,0.010623212765997222
2021-12-31,17354.05078125,17354.05078125,17400.80078125,17238.5,17244.5,167000,17162.14736328125,17516.25390625,0.008724831757606522,0.010467513405377193
2022-01-03,17625.69921875,17625.69921875,17646.650390625,17383.30078125,17387.150390625,200500,17197.81982421875,17505.2058984375,0.015653315812207858,0.010179229862583794
2022-01-04,17805.25,17805.25,17827.599609375,17593.55078125,17681.400390625,247400,17229.24736328125,17499.012890625,0.01018687423526421,0.00986642920690275
2022-01-05,17925.25,17925.25,17944.69921875,17748.849609375,17820.099609375,251500,17252.02236328125,17495.0098828125,0.0067395852346920915,0.00928123820591279
2022-01-06,17745.900390625,17745.900390625,17797.94921875,17655.55078125,17768.5,236500,17263.47490234375,17484.5598828125,-0.010005417462796928,0.00961144295005324
2022-01-07,17812.69921875,17812.69921875,17905.0,17704.55078125,17797.599609375,239300,17278.54482421875,17476.5948828125,0.003764183651131514,0.009632156004146266
2022-01-10,18003.30078125,18003.30078125,18017.44921875,17879.150390625,17913.30078125,232400,17310.29736328125,17479.5158984375,0.010700318921871732,0.009621432079737055
2022-01-11,18055.75,18055.75,18081.25,17964.400390625,17997.75,220200,17346.83984375,17487.197890625,0.002913311252602302,0.009568978878864858
2022-01-12,18212.349609375,18212.349609375,18227.94921875,18128.80078125,18170.400390625,245000,17396.3873046875,17492.851875,0.008673115731830494,0.009477633312731226
2022-01-13,18257.80078125,18257.80078125,18272.25,18163.80078125,18257.0,303700,17446.85732421875,17500.22890625,0.0024956237305924223,0.009473326976946897
2022-01-14,18255.75,18255.75,18286.94921875,18119.650390625,18185.0,229500,17510.38486328125,17508.759921875,-0.00011232356375068253,0.008501572745272929
2022-01-17,18308.099609375,18308.099609375,18321.55078125,18228.75,18235.650390625,266700,17595.0798828125,17516.5858984375,0.0028675682661627455,0.006041851303581542
2022-01-18,18113.05078125,18113.05078125,18350.94921875,18085.900390625,18337.19921875,227500,17662.18994140625,17517.4758984375,-0.010653690567923424,0.006860072285074231
2022-01-19,17938.400390625,17938.400390625,18129.19921875,17884.900390625,18129.19921875,276700,17711.3375,17515.35890625,-0.00964224043394124,0.007272354403330111
2022-01-20,17757.0,17757.0,17943.69921875,17648.44921875,17921.0,258100,17745.55751953125,17510.154921875,-0.010112406160797005,0.007752099100244678
2022-01-21,17617.150390625,17617.150390625,17707.599609375,17485.849609375,17613.69921875,277600,17776.2275390625,17505.0259375,-0.007875745304668613,0.007954378520656936
2022-01-24,17149.099609375,17149.099609375,17599.400390625,16997.849609375,17575.150390625,323800,17779.37001953125,17485.9529296875,-0.02656790518738339,0.010126719859654004
2022-01-25,17277.94921875,17277.94921875,17309.150390625,16836.80078125,17001.55078125,326500,17781.60498046875,17469.3229296875,0.007513491221694313,0.010082136704127114
2022-01-27,17110.150390625,17110.150390625,17182.5,16866.75,17062.0,395600,17776.43251953125,17451.541953125,-0.00971173291462768,0.010320488068095063
2022-01-28,17101.94921875,17101.94921875,17373.5,17077.099609375,17208.30078125,355300,17771.33251953125,17435.6079296875,-0.0004793161771092791,0.01032037548380842
2022-01-31,17339.849609375,17339.849609375,17410.0,17264.150390625,17301.05078125,321700,17770.6224609375,17427.10890625,0.0139107178709299,0.010618478080519786
2022-02-01,17576.849609375,17576.849609375,17622.400390625,17244.55078125,17529.44921875,386400,17768.17998046875,17430.3148828125,0.013667938611870323,0.010472846371697195
2022-02-02,17780.0,17780.0,17794.599609375,17674.80078125,17706.19921875,271200,17766.91748046875,17435.847890625,0.011557838585399605,0.010547845551182369
2022-02-03,17560.19921875,17560.19921875,17781.150390625,17511.150390625,17767.75,226600,17748.66494140625,17438.750859375,-0.012362248664229525,0.010766324086545672
2022-02-04,17516.30078125,17516.30078125,17617.80078125,17462.55078125,17590.19921875,261400,17737.1849609375,17438.351875,-0.0024998826581151823,0.010563816827998682
2022-02-07,17213.599609375,17213.599609375,17536.75,17119.400390625,17456.30078125,265000,17707.22998046875,17442.0948828125,-0.017281112927623465,0.0111389704780188
2022-02-08,17266.75,17266.75,17306.44921875,17043.650390625,17279.849609375,268500,17670.40244140625,17446.3508984375,0.0030876976246183574,0.010820242746181024
2022-02-09,17463.80078125,17463.80078125,17477.150390625,17339.0,17370.099609375,236400,17640.80498046875,17455.9629296875,0.01141215233034587,0.011185349044957927
2022-02-10,17605.849609375,17605.849609375,17639.44921875,17427.150390625,17554.099609375,273600,17610.47998046875,17464.7419140625,0.008133901085124018,0.011159890477031345
2022-02-11,17374.75,17374.75,17454.75,17303.0,17451.0,253100,17566.32744140625,17464.20390625,-0.01312629691281364,0.011399863984413587
